# File Name: /shared/data/ui/current_run/DSF Protocol 25-95C X1M3 0-5 K increments_20250110_145235.eds,file_name,,,,,
# Comment: ,,,,,,
# Operator:,,,,,,
# Barcode: ,,,,,,
# Instrument Type:,,,,,,
# Block Type: 384-Well Block,,,,,,
# Instrument Name: ,,,,,,
# Instrument Serial Number: ,,,,,,
# Heated Cover Serial Number: ,,,,,,
# Block Serial Number: ,,,,,,
# Run Start Date/Time: ,,,,,,
# Run End Date/Time: ,,,,,,
# Run Duration: ,,,,,,
# Sample Volume: 20.0,,,,,,
# Cover Temperature: 105.0,,,,,,
# Passive Reference: ,,,,,,
# Melt Stage Number: 2,,,,,,
# Quantification Cycle Method: CT,,,,,,
# Post-read Stage/Step: ,,,,,,
# Analysis Date/Time: ,,,,,,
# Exported On: ,,,,,,
Well,Well Position,Reading Number,Target,Temperature,Fluorescence,Derivative
2,A2,109,DSF,78.78717041015625,9999.513672,272.8581848144531
2,A2,110,DSF,79.28517914,9982.5,142.6291504
2,A2,111,DSF,79.78318024,10214.38184,7.758209228515625
2,A2,112,DSF,80.28118896484375,10658.28809,-71.21923828
2,A2,113,DSF,80.77919769,10622.66309,-65.90292358
2,A2,114,DSF,81.27720642089844,9794.223633,8.457824707
2,A2,115,DSF,81.77521514892578,10503.95996,106.44808959960938
2,A2,116,DSF,82.27322387695312,9312.382813,179.45974731445312
2,A2,117,DSF,82.77122497558594,10071.35156,198.6907958984375
2,A2,118,DSF,83.26923370361328,9478.679688,163.00173950195312
2,A2,119,DSF,83.76724243164062,9281.995117,91.93832397460938
2,A2,120,DSF,84.26525115966797,9921.444336,11.6439209
2,A2,121,DSF,84.76325988769531,9210.286133,-57.82144165
2,A2,122,DSF,85.26126098632812,9377.280273,-108.5708008
2,A2,123,DSF,85.75926971435547,9724.297852,-143.5426636
2,A2,124,DSF,86.25727844238281,8731.164063,-169.8902588
2,A2,125,DSF,86.75528717041016,9636.433594,-191.171814
2,A2,126,DSF,87.25328826904297,9015.920898,-202.4954834
2,A2,127,DSF,87.75129699707031,8996.359375,-191.5404663
2,A2,128,DSF,88.24930572509766,9305.705078,-145.6969604
2,A2,129,DSF,88.74731445,9280.545898,-62.11178589
2,A2,130,DSF,89.24532318115234,8885.999023,45.17877197265625
2,A2,131,DSF,89.74332427978516,9004.523438,146.8387908935547
2,A2,132,DSF,90.24133301,8792.93457,210.42254638671875
2,A2,133,DSF,90.73934173583984,8454.905273,218.11831665039062
2,A2,134,DSF,91.23735046386719,7763.760742,179.3705291748047
2,A2,135,DSF,91.73535919189453,8794.774414,128.3953094482422
2,A2,136,DSF,92.23336029052734,8365.401367,105.51828002929688
2,A2,137,DSF,92.73136901855469,8413.62793,133.5692901611328
2,A2,138,DSF,93.22937774658203,8566.588867,205.55752563476562
2,A2,139,DSF,93.72738647460938,7731.996094,292.2533874511719
2,A2,140,DSF,94.22539520263672,7521.132324,363.01849365234375
2,A2,141,DSF,94.72339630126953,7956.702637,385.8160400390625
3,A3,1,DSF,25.002399444580078,36523.44141,-314.1708984
3,A3,2,DSF,25.500408172607422,35754.97656,-304.418457
3,A3,3,DSF,25.99841309,36324.27344,-299.9658203
3,A3,4,DSF,26.496421813964844,35548.25,-304.1186523
3,A3,5,DSF,26.994428634643555,35806.01953,-318.7529297
3,A3,6,DSF,27.492435455322266,36203.74609,-344.1630859
3,A3,7,DSF,27.99044418334961,35661.39844,-378.574707
3,A3,8,DSF,28.488449096679688,35405.6875,-417.1787109
3,A3,9,DSF,28.98645782470703,36048.67188,-451.7856445
3,A3,10,DSF,29.484464645385742,35536.57813,-472.5561523
3,A3,11,DSF,29.982471466064453,35880.26953,-472.0307617
3,A3,12,DSF,30.480478286743164,36081.51172,-449.5527344
3,A3,13,DSF,30.978485107421875,36484.42578,-413.1132813
3,A3,14,DSF,31.47649383544922,36084.17578,-376.9111328
3,A3,15,DSF,31.974498748779297,36231.13281,-355.7880859
3,A3,16,DSF,32.47250747680664,34934.46484,-359.9633789
3,A3,17,DSF,32.97051239013672,36384.23828,-392.9736328
3,A3,18,DSF,33.46852111816406,35781.11719,-453.0332031
3,A3,19,DSF,33.966529846191406,35622.38281,-535.8085938
3,A3,20,DSF,34.464534759521484,35754.80859,-636.5678711
3,A3,21,DSF,34.96253967285156,35721.01953,-751.046875
3,A3,22,DSF,35.460548400878906,36331.57031,-875.4711914
3,A3,23,DSF,35.95855712890625,36236.89063,-1006.044922
3,A3,24,DSF,36.456565856933594,36748.44922,-1138.453125
3,A3,25,DSF,36.95457077026367,36464.73828,-1268.128418
3,A3,26,DSF,37.45257568359375,37311.6875,-1392.020996
3,A3,27,DSF,37.950584411621094,38572.85156,-1511.27832
3,A3,28,DSF,38.44859313964844,38104.07031,-1633.158203
3,A3,29,DSF,38.94660186767578,38959.03125,-1770.453125
3,A3,30,DSF,39.44460678100586,39402.33984,-1938.208496
3,A3,31,DSF,39.94261169433594,40571.71094,-2148.69873
3,A3,32,DSF,40.44062042236328,40419.38672,-2406.790039
3,A3,33,DSF,40.938629150390625,41792.39063,-2708.208984
3,A3,34,DSF,41.43663787841797,41815.09375,-3042.628418
3,A3,35,DSF,41.93464279174805,44257.55859,-3401.009277
